32,31,46,66
32,33,45,54
32,34,47,51
32,34,45,48
32,34,46,52
32,34,46,51
32,34,47,49
32,34,46,49
32,35,49,46
32,35,49,45
32,35,51,45
32,35,51,45
32,35,58,47
26,35,86,48
28,35,78,49
32,35,57,46
32,35,61,50
32,35,57,49
32,35,55,50
32,35,57,51
32,35,54,53
32,35,55,50
28,35,76,46
18,35,125,48
26,35,83,45
32,35,53,44
32,35,52,45
32,35,50,45
32,35,53,46
32,35,56,46
31,35,65,48
28,35,74,47
32,35,57,48
29,35,73,47
26,35,86,45
22,35,103,45
24,35,94,48
15,35,147,49
13,35,154,51
9,35,176,50
15,35,150,52
13,35,168,63
24,35,125,76
24,35,158,111
30,35,115,94
30,35,136,114
26,35,188,147
-6,35,268,63
-16,35,313,55
-19,35,330,60
-16,35,310,56
-7,35,316,107
15,35,236,141
31,35,191,178
32,28,183,215
32,25,191,236
32,23,189,246
19,35,240,170
-7,35,278,69
-13,35,300,63
-16,35,311,60
-1,35,277,97
-1,35,262,81
24,35,199,152
32,28,148,183
32,27,108,145
32,31,108,128
26,35,139,98
19,35,143,72
1,35,217,53
0,35,220,47
-13,35,284,47
-3,35,240,50
0,35,226,51
3,35,238,83
26,35,156,117
26,35,162,123
29,35,141,118
32,27,96,132
31,35,151,137
9,35,197,71
8,35,224,97
-10,35,304,79
-19,35,332,58
-22,35,341,56
-3,35,298,106
5,35,276,133
10,35,271,151
16,35,257,169
8,35,287,160
9,35,289,166
1,35,327,163
-13,35,342,105
-15,35,314,66
-1,35,314,134
3,35,305,151
10,35,302,180
19,35,269,196
25,35,236,193
24,35,256,207
25,35,247,204
8,35,296,168
0,35,287,116
-17,35,330,66
-22,35,340,54
-2,35,287,100
9,35,262,137
15,35,238,140
21,35,222,159
12,35,241,129
16,35,217,125
29,35,200,177
32,32,193,205
32,35,210,206
14,35,267,167
-2,35,344,160
-21,35,365,82
-23,35,384,53
-23,35,385,54
-23,35,368,56
-9,35,296,74
-2,35,266,81
7,35,208,74
11,35,209,95
17,35,175,94
22,35,176,120
32,24,152,205
32,25,151,199
32,31,197,217
23,35,232,177
-2,35,310,126
-23,35,384,93
-23,35,392,72
-16,35,367,111
-16,35,386,128
2,35,336,180
9,35,308,183
9,35,315,189
21,35,281,220
21,35,280,216
30,35,247,227
26,35,267,230
12,35,303,192
-17,35,383,120
-23,35,403,64
-23,35,434,55
-23,35,406,58
-23,35,393,55
-23,35,385,58
-23,35,367,62
-16,35,337,85
-17,35,331,69
-2,35,283,98
2,35,279,119
7,35,256,121
21,35,230,167
21,35,224,160
32,35,193,185
31,35,213,200
13,35,277,173
-9,35,345,125
